date,label,value
"2021-08-27 12:46:41",17100-CE,4.93
"2021-08-27 12:46:41",17100-PE,0.17
"2021-08-27 12:46:41",17150-CE,0.39
"2021-08-27 12:46:41",17150-PE,0.09
"2021-08-27 12:48:22",17100-CE,4.91
"2021-08-27 12:48:22",17100-PE,0.17
"2021-08-27 12:48:22",17150-CE,0.39
"2021-08-27 12:48:22",17150-PE,0.09
"2021-08-27 12:50:05",17100-CE,4.91
"2021-08-27 12:50:05",17100-PE,0.17
"2021-08-27 12:50:05",17150-CE,0.38
"2021-08-27 12:50:05",17150-PE,0.09
"2021-08-27 12:51:46",17100-CE,4.91
"2021-08-27 12:51:46",17100-PE,0.17
"2021-08-27 12:51:46",17150-CE,0.38
"2021-08-27 12:51:46",17150-PE,0.09
"2021-08-27 12:53:30",17100-CE,4.92
"2021-08-27 12:53:30",17100-PE,0.17
"2021-08-27 12:53:30",17150-CE,0.38
"2021-08-27 12:53:30",17150-PE,0.09
"2021-08-27 12:55:17",17100-CE,4.91
"2021-08-27 12:55:17",17100-PE,0.17
"2021-08-27 12:55:17",17150-CE,0.39
"2021-08-27 12:55:17",17150-PE,0.09
"2021-08-27 12:57:04",17100-CE,4.91
"2021-08-27 12:57:04",17100-PE,0.17
"2021-08-27 12:57:04",17150-CE,0.38
"2021-08-27 12:57:04",17150-PE,0.09
"2021-08-27 12:58:43",17100-CE,4.91
"2021-08-27 12:58:43",17100-PE,0.17
"2021-08-27 12:58:43",17150-CE,0.38
"2021-08-27 12:58:43",17150-PE,0.09
"2021-08-27 13:00:28",17100-CE,4.93
"2021-08-27 13:00:28",17100-PE,0.17
"2021-08-27 13:00:28",17150-CE,0.38
"2021-08-27 13:00:28",17150-PE,0.09
"2021-08-27 13:02:11",17100-CE,4.93
"2021-08-27 13:02:11",17100-PE,0.17
"2021-08-27 13:02:11",17150-CE,0.38
"2021-08-27 13:02:11",17150-PE,0.09
"2021-08-27 13:03:55",17100-CE,4.94
"2021-08-27 13:03:55",17100-PE,0.17
"2021-08-27 13:03:55",17150-CE,0.38
"2021-08-27 13:03:55",17150-PE,0.09
"2021-08-27 13:05:39",17100-CE,4.94
"2021-08-27 13:05:39",17100-PE,0.17
"2021-08-27 13:05:39",17150-CE,0.38
"2021-08-27 13:05:39",17150-PE,0.09
"2021-08-27 13:07:31",17100-CE,4.97
"2021-08-27 13:07:31",17100-PE,0.17
"2021-08-27 13:07:31",17150-CE,0.38
"2021-08-27 13:07:31",17150-PE,0.09
"2021-08-27 13:09:18",17100-CE,4.97
"2021-08-27 13:09:18",17100-PE,0.17
"2021-08-27 13:09:18",17150-CE,0.38
"2021-08-27 13:09:18",17150-PE,0.09
"2021-08-27 13:11:11",17100-CE,4.96
"2021-08-27 13:11:11",17100-PE,0.17
"2021-08-27 13:11:11",17150-CE,0.38
"2021-08-27 13:11:11",17150-PE,0.09
"2021-08-27 13:13:00",17100-CE,4.96
